zHD MU_SH0ES
1.973300000000000054e-01 3.980180000000000007e+01
1.974100000000000021e-01 3.969319999999999737e+01
1.978199999999999958e-01 3.949199999999999733e+01
1.981700000000000128e-01 3.975610000000000355e+01
1.982800000000000118e-01 3.988790000000000191e+01
1.986100000000000088e-01 4.032459999999999667e+01
1.987700000000000022e-01 3.988810000000000144e+01
1.987800000000000122e-01 3.988900000000000290e+01
1.990800000000000070e-01 4.002159999999999940e+01
1.995300000000000129e-01 3.985110000000000241e+01
1.996100000000000096e-01 3.967640000000000100e+01
1.996999999999999886e-01 3.989650000000000318e+01
2.007700000000000040e-01 3.968370000000000175e+01
2.008300000000000085e-01 3.998380000000000223e+01
2.008699999999999930e-01 3.976720000000000255e+01
2.012799999999999867e-01 3.985750000000000171e+01
2.023099999999999898e-01 3.961840000000000117e+01
2.024900000000000033e-01 3.999490000000000123e+01
2.027899999999999980e-01 3.983729999999999905e+01
2.031999999999999917e-01 3.996580000000000155e+01
2.032899999999999985e-01 3.988219999999999743e+01
2.033099999999999907e-01 3.992770000000000152e+01
2.033399999999999930e-01 3.993350000000000222e+01
2.038200000000000012e-01 3.990409999999999968e+01
2.046900000000000108e-01 3.988089999999999691e+01
2.048300000000000121e-01 3.984270000000000067e+01
2.052299999999999958e-01 4.016610000000000014e+01
2.056199999999999972e-01 3.981260000000000332e+01
2.069100000000000106e-01 3.992249999999999943e+01
2.074799999999999978e-01 4.031600000000000250e+01
2.075100000000000000e-01 4.007249999999999801e+01
2.084000000000000019e-01 3.972990000000000066e+01
2.085599999999999954e-01 3.987579999999999814e+01
2.086800000000000044e-01 4.010340000000000060e+01
2.086999999999999966e-01 3.986390000000000100e+01
2.087900000000000034e-01 3.987980000000000302e+01
2.094799999999999995e-01 3.984129999999999683e+01
2.101500000000000035e-01 4.014789999999999992e+01
2.103700000000000014e-01 3.945430000000000348e+01
2.108399999999999996e-01 3.996320000000000050e+01
2.109499999999999986e-01 3.980599999999999739e+01
2.111399999999999944e-01 3.995519999999999783e+01
2.113400000000000001e-01 4.014150000000000063e+01
2.117400000000000115e-01 3.996759999999999735e+01
2.119999999999999940e-01 3.991360000000000241e+01
